structure,operation,N,time_ns
ArrayStack,pushpop,10,2200
ArrayStack,pushpop,100,12200
ArrayStack,pushpop,10000,1094700
ArrayStack,pushpop,100000,1923000
ArrayStack,pushpop,1000000,13534200
LinkedStack,pushpop,10,1400
LinkedStack,pushpop,100,9000
LinkedStack,pushpop,10000,923300
LinkedStack,pushpop,100000,1535400
LinkedStack,pushpop,1000000,120460400
ArrayQueue,enqueuedequeue,10,2800
ArrayQueue,enqueuedequeue,100,12800
ArrayQueue,enqueuedequeue,10000,1142400
ArrayQueue,enqueuedequeue,100000,3370200
ArrayQueue,enqueuedequeue,1000000,16359300
LinkedQueue,enqueuedequeue,10,3400
LinkedQueue,enqueuedequeue,100,8600
LinkedQueue,enqueuedequeue,10000,825200
LinkedQueue,enqueuedequeue,100000,1321800
LinkedQueue,enqueuedequeue,1000000,88372100
